"Name","PCA_PC1","PCA_PC2","PCA_PC3","PTModel_a","PTModel_b","PTModel_c","Ro16_DTF","Ro17_DTF","Su16_DTF","Su17_DTF","Su18_DTF","Us18_DTF","In16_DTF","In17_DTF","Ba16_DTF","Ba17_DTF","Ne16_DTF","Ne17_DTF","Mo16_DTF","Mo17_DTF","Sp16_DTF","Sp17_DTF","It16_DTF","It17_DTF","Su17_Tf","Ba17_Tf","It17_Tf","Su17_Tb","Ba17_Tb","It17_Tb","Su17_Pf","Ba17_Pf","It17_Pf","Su17_Pc","Ba17_Pc","It17_Pc"
"ILL_4875_AGL",5.19595043207071,1.03385880460886,-0.354247196144359,-0.01824611283589,0.00038699076021458,0.00191345783261528,50.6666666666667,49.6666666666667,55.6666666666667,56.6666666666667,49.6666666666667,61.5,NA,NA,NA,87.6666666666667,125,127.666666666667,134,135,127,133.666666666667,152,147.666666666667,2756.36666666667,2476.36666666667,2559.4,-32.4569978421484,-7.2402848102225,-6.25139410308815,557.633333333333,507.833333333333,510.933333333333,6.3604003668515,5.14691945198133,7.27051105300412
"ILL_4956_AGL",2.78303877909788,0.530529023184759,-1.01406535635291,-0.0196960207211073,0.000421643702100093,0.00203517304181256,48.6666666666667,46,52.3333333333333,53.6666666666667,46.6666666666667,61.5,83,NA,81,87.6666666666667,112.5,123.333333333333,130,132.666666666667,121.333333333333,128.666666666667,141.333333333333,144.666666666667,2530.6,2398.1,2362.06666666667,-30.9983647021774,-6.38188765877042,-5.41653561785251,523.766666666667,504.5,479.933333333333,6.42511193372036,5.18204210102082,7.35741430824502
"ILL_5058_AGL",5.33720950491929,0.639123659054981,0.943786729611409,-0.0174791015134975,0.000281138688804235,0.00198197558025128,51.6666666666667,51.3333333333333,55.3333333333333,54.6666666666667,49.6666666666667,58.3333333333333,NA,NA,NA,NA,134.666666666667,139.666666666667,134,128,124,130,146.333333333333,144.333333333333,3707.96666666667,3858.9,3600.13333333333,-51.3294893346985,-15.3754358308065,-13.9654729483009,524.5,547,496.033333333333,6.59202072389538,5.7409344897191,7.23033539952759
"ILL_5151_AGL",-0.389534008967971,-0.967533035999868,1.79449209202318,-0.0197679890563761,0.000235101955764912,0.00233366941425511,45.3333333333333,44.6666666666667,49,48,43,55.6666666666667,NA,78,NA,89,120,124.666666666667,119,103.666666666667,110,113,125.666666666667,129.666666666667,4463.6,4130.35,4342.16666666667,-75.729223328683,-25.1055950650284,-23.1203547409636,443.9,413.8,395,6.88910273780085,6.28464191486988,7.34244835499908
"ILL_5209_AGL",-1.1658531475664,-1.25532494264914,1.80726174118867,-0.0200050933158994,0.000232911616839259,0.00237057124810163,44.6666666666667,44.3333333333333,47.6666666666667,47.6666666666667,43,51,74,NA,91.6666666666667,87.3333333333333,127.333333333333,122.333333333333,116,102.666666666667,109,112.333333333333,120.666666666667,131,4542.13333333333,4125,4512.8,-77.9742291303164,-26.066498938988,-24.030901676583,440.3,403,402.866666666667,6.89638876900027,6.30688119686775,7.33851944809966
"ILL_5480_AGL",3.15406487834617,1.57396031044518,-0.75742536955421,-0.0183241316299704,0.000413105976712591,0.00191943784055352,49.3333333333333,48,54.3333333333333,55,48.6666666666667,62.5,85,73,86.6666666666667,82.3333333333333,122.666666666667,126.333333333333,130,129,119.333333333333,130,138.333333333333,143.333333333333,2565.1,2249.13333333333,2387.83333333333,-30.4493721031122,-6.75295147825755,-5.82368008120443,551.6,496.233333333333,503.7,6.16762238685928,4.87628811809194,7.13612308843479
"ILL_5639_AGL",-0.286462826792781,-0.938420755159573,-0.0176945744506511,-0.0206480059478978,0.00038309385967882,0.00223981027336222,45.6666666666667,45.3333333333333,47.3333333333333,47,43.3333333333333,54.3333333333333,64.6666666666667,NA,81,84.6666666666667,122.333333333333,120.666666666667,128,115.666666666667,111.666666666667,119.333333333333,129.666666666667,136.666666666667,2667.65,2641.4,2700.1,-40.2328021288462,-10.4149595674326,-9.24563240816152,451.3,457.6,439.866666666667,6.53333566908496,5.50710448093057,7.30300906020075
"ILL_5722_AGL",-4.53780591715302,-0.180728302877506,-1.58044183797409,-0.0229876094278461,0.000701509817461331,0.00214402323621217,45,39.3333333333333,43.6666666666667,44.3333333333333,41.6666666666667,51.3333333333333,65,54,71.3333333333333,60.6666666666667,97,105.666666666667,108,105.666666666667,109,111.666666666667,123.666666666667,132,1440.16666666667,1233.33333333333,1379.86666666667,-16.4376383453899,-0.850517206796835,-0.239257554302994,467.7,435.933333333333,445.8,5.58478336030416,3.62162417728892,7.0571527475656
"ILL_5883_AGL",-1.02014296015576,-1.63239349487666,1.17582500152056,-0.0211386279393998,0.000265796875195395,0.00242617614175506,44,43.3333333333333,48,46.3333333333333,42.6666666666667,51.6666666666667,82,NA,83.6666666666667,86.6666666666667,126,123.333333333333,119,105,110.666666666667,113,125.333333333333,132,3917.16666666667,3634.96666666667,3888.23333333333,-67.4304689612362,-20.8780092535941,-19.0524225983925,422.9,397,388.7,6.99273919434366,6.33541624745378,7.48573140451108
"ILL_5888_AGL",-12.1227619933447,3.61163891236034,-1.31768135013158,-0.0146965106533019,0.00143241681362331,0.000903227270714473,42.6666666666667,38,44.3333333333333,41,40.3333333333333,51.5,37.3333333333333,39.3333333333333,34,45.5,58.6666666666667,52.6666666666667,75,77.6666666666667,93.6666666666667,92,99,97,641.066666666667,743.25,587.633333333333,0.10789568603844,3.3237606750787,3.44987302759009,1028.23333333333,1337.75,1108.53333333333,-8.62732290447794,-18.1426477406528,-1.49082927734679
